r,g,b
221,212,201
222,204,180
221,202,178
223,205,181
221,203,179
221,203,180
221,203,183
220,202,179
220,202,180
220,202,180
220,202,180
220,202,180
221,203,181
220,202,180
220,202,178
219,201,177
219,201,178
218,200,177
217,200,176
217,200,174
217,200,174
216,199,174
218,200,176
219,200,175
218,198,173
219,199,175
218,197,176
218,198,173
218,198,173
218,198,173
214,194,169
216,196,171
215,195,168
215,195,167
216,196,171
215,196,168
216,196,171
215,196,172
215,197,173
215,198,173
215,199,173
214,197,171
215,198,172
213,195,173
215,197,174
216,198,174
215,197,173
216,198,174
215,197,173
215,198,172
216,199,173
215,198,172
214,197,171
215,198,172
214,196,172
215,197,173
214,197,171
215,198,172
215,196,171
214,194,169
215,196,170
214,197,171
214,197,171
213,196,169
213,195,171
213,195,171
214,196,172
213,195,171
213,195,171
214,196,172
214,196,172
213,195,171
212,195,170
212,195,169
213,196,170
214,196,171
215,197,175
217,199,177
217,199,175
216,198,174
216,198,176
217,199,177
217,199,176
215,198,173
215,197,174
215,197,174
215,197,173
214,197,171
214,197,172
215,197,175
215,197,175
214,196,173
212,194,173
213,196,174
210,194,171
210,194,171
208,192,172
207,190,170
202,189,170
205,190,169
221,212,201
221,203,179
222,203,181
222,204,183
221,203,181
221,203,180
221,203,183
222,204,184
220,203,180
220,202,179
221,203,181
220,202,180
221,203,181
219,201,179
220,202,178
219,201,177
219,201,177
218,201,176
218,201,176
219,202,176
219,202,176
218,200,176
219,201,177
219,200,175
218,198,173
217,197,172
217,197,171
219,199,174
218,198,173
217,197,172
217,197,172
216,196,171
217,197,173
216,196,173
217,197,172
217,197,172
216,196,174
215,196,174
214,196,172
215,197,173
216,196,171
216,196,171
214,196,171
214,197,170
217,199,174
215,197,173
216,198,174
217,199,175
216,198,174
216,199,173
218,201,175
216,199,173
217,200,174
217,199,174
216,198,174
215,197,173
216,199,173
216,199,173
216,197,172
217,197,172
216,197,171
215,198,172
215,198,172
216,199,171
215,197,173
215,197,173
215,197,173
214,196,172
215,197,173
215,197,173
214,196,172
214,196,172
214,196,171
212,195,169
213,196,170
214,197,172
216,198,176
216,198,176
217,199,175
216,199,173
217,200,175
217,199,175
218,200,177
216,198,173
215,197,172
213,196,171
215,197,172
215,198,172
214,197,172
216,198,176
215,197,175
216,198,174
217,199,178
215,198,177
215,199,176
216,200,177
216,200,178
217,200,178
217,202,178
221,204,178
223,213,203
221,204,182
222,204,184
224,206,186
222,204,183
223,205,184
221,203,183
223,205,185
221,203,182
220,202,180
218,200,177
221,203,180
220,202,179
221,203,180
220,202,179
220,202,180
220,202,178
220,202,178
220,202,177
220,202,177
219,201,177
218,200,176
219,201,177
221,201,177
220,200,176
218,199,174
217,199,173
218,200,175
218,198,173
218,198,173
216,196,171
216,196,171
217,197,173
212,193,170
216,198,173
216,198,171
216,198,172
218,199,175
217,197,174
218,198,173
218,197,173
217,196,172
215,198,172
212,195,166
209,192,164
214,196,171
214,196,171
216,199,174
217,200,175
218,200,175
218,200,176
217,200,174
217,200,174
216,199,173
216,199,173
216,199,173
216,199,173
216,199,173
216,198,172
216,198,171
215,197,170
215,198,172
215,198,172
216,199,173
216,199,173
216,198,173
216,198,174
217,199,176
218,200,176
216,198,173
216,199,173
215,198,172
213,196,170
213,196,170
213,196,169
214,197,171
215,197,174
215,197,175
215,198,172
214,197,170
214,197,171
216,199,173
217,199,175
217,199,175
214,197,170
216,198,173
216,198,174
215,197,173
216,198,173
218,200,177
216,198,174
218,200,176
218,200,177
218,200,178
217,200,177
217,200,178
217,202,183
215,200,181
218,201,181
219,201,179
226,216,207
223,206,185
224,206,186
223,205,185
223,205,185
223,205,185
223,205,185
223,205,187
222,204,183
222,204,181
220,202,180
220,202,180
220,202,178
221,203,179
222,204,182
222,204,182
221,203,180
220,202,178
221,203,179
219,201,177
221,203,179
222,204,180
221,203,179
222,203,179
223,203,179
223,204,180
221,203,179
220,202,178
221,201,176
220,200,175
219,199,174
220,200,175
218,199,174
216,198,173
217,199,174
217,200,174
216,199,173
215,197,174
217,198,175
218,199,174
216,196,172
217,197,173
216,199,175
217,199,173
210,193,167
218,201,175
217,200,175
217,199,176
218,200,176
219,201,177
218,200,176
217,200,176
218,200,176
218,200,176
216,199,175
216,198,174
217,199,175
217,199,175
216,198,174
215,198,173
217,199,174
217,200,174
216,199,173
215,198,172
216,199,173
216,198,173
217,199,174
218,200,176
219,201,178
218,200,175
219,202,176
216,199,173
214,197,171
214,197,171
215,198,172
214,197,171
215,198,172
216,198,173
216,199,174
215,198,172
216,199,173
216,199,174
217,199,175
218,200,176
217,200,173
218,201,176
219,201,177
216,198,174
217,199,175
218,200,176
218,200,176
219,201,177
219,201,177
218,200,177
219,201,179
218,201,179
217,201,180
217,201,180
217,200,179
219,201,178
228,218,208
222,206,185
225,207,187
226,208,188
225,207,187
223,205,185
222,204,184
225,206,188
223,205,184
223,205,184
224,206,185
223,205,184
223,205,181
221,202,179
221,203,182
221,203,181
220,202,179
219,201,177
221,203,179
221,203,179
223,205,181
224,205,181
224,206,182
223,204,180
223,204,180
223,204,180
222,204,180
221,203,179
221,201,176
221,201,176
219,199,175
220,200,175
219,200,174
218,200,173
217,199,172
217,199,173
216,198,173
216,199,175
216,199,175
216,198,173
217,197,173
216,197,173
215,197,175
214,196,172
211,194,168
217,200,174
217,200,175
219,201,179
218,200,178
219,201,177
219,201,177
218,200,177
218,200,177
218,200,177
217,198,175
218,200,176
219,200,177
218,199,176
218,200,176
218,199,175
218,200,176
218,201,175
217,200,174
216,198,174
