r,g,b,x,y
102,88,45,0,0
85,75,40,1,0
79,68,34,2,0
85,71,37,3,0
91,76,37,4,0
88,71,38,5,0
98,75,34,6,0
86,70,35,7,0
91,75,39,8,0
90,75,37,9,0
81,70,39,10,0
73,63,35,11,0
87,68,32,12,0
80,67,36,13,0
72,60,35,14,0
68,54,29,15,0
67,52,25,16,0
62,50,28,17,0
67,51,25,18,0
59,48,29,19,0
55,47,24,20,0
59,51,28,21,0
68,57,29,22,0
57,52,26,23,0
54,50,30,24,0
54,50,26,25,0
63,53,29,26,0
64,56,33,27,0
57,53,30,28,0
62,56,29,29,0
53,52,32,30,0
51,50,31,31,0
52,51,32,32,0
57,55,32,33,0
75,63,31,34,0
60,54,31,35,0
65,59,32,36,0
63,55,27,37,0
57,53,26,38,0
60,54,27,39,0
69,61,26,40,0
63,54,27,41,0
77,65,33,42,0
54,51,31,43,0
59,54,27,44,0
66,57,29,45,0
71,61,29,46,0
62,54,27,47,0
72,62,26,48,0
60,53,23,49,0
63,56,23,50,0
58,52,28,51,0
70,60,25,52,0
61,53,24,53,0
57,54,26,54,0
64,58,29,55,0
58,53,24,56,0
51,49,26,57,0
56,51,23,58,0
64,56,29,59,0
63,60,28,60,0
58,55,27,61,0
55,54,29,62,0
59,57,30,63,0
55,53,30,64,0
56,52,30,65,0
48,48,32,66,0
67,59,31,67,0
51,51,33,68,0
53,51,28,69,0
59,53,26,70,0
56,49,25,71,0
61,53,26,72,0
65,55,25,73,0
74,59,29,74,0
63,55,28,75,0
60,58,36,76,0
72,63,37,77,0
63,59,39,78,0
67,63,41,79,0
55,53,34,80,0
103,87,55,81,0
123,106,77,82,0
125,111,88,83,0
131,120,100,84,0
128,114,92,85,0
138,127,103,86,0
136,124,102,87,0
137,124,102,88,0
129,119,93,89,0
129,119,97,90,0
128,118,100,91,0
123,113,92,92,0
126,117,95,93,0
132,122,104,94,0
134,124,107,95,0
130,121,103,96,0
131,122,102,97,0
102,92,71,98,0
70,63,33,99,0
70,64,32,100,0
74,67,32,101,0
70,63,32,102,0
66,65,37,103,0
81,71,33,104,0
90,75,32,105,0
62,60,31,106,0
62,59,31,107,0
61,58,27,108,0
54,52,26,109,0
52,54,32,110,0
52,52,26,111,0
48,50,26,112,0
47,48,29,113,0
48,48,25,114,0
52,53,29,115,0
55,54,33,116,0
62,57,29,117,0
59,57,31,118,0
51,54,32,119,0
49,53,27,120,0
46,50,28,121,0
47,50,27,122,0
47,50,31,123,0
46,49,31,124,0
49,53,34,125,0
54,57,34,126,0
47,51,31,127,0
41,47,31,128,0
44,46,29,129,0
58,56,32,130,0
61,59,33,131,0
64,61,36,132,0
56,56,35,133,0
69,64,34,134,0
67,63,37,135,0
94,77,34,136,0
108,90,37,137,0
103,90,40,138,0
96,86,44,139,0
109,95,48,140,0
88,84,44,141,0
114,98,51,142,0
111,92,44,143,0
89,79,41,144,0
83,75,43,145,0
101,89,58,146,0
89,76,38,0,1
79,67,37,1,1
70,62,31,2,1
112,88,37,3,1
86,70,32,4,1
76,62,32,5,1
79,65,32,6,1
79,65,29,7,1
89,71,30,8,1
114,93,39,9,1
111,88,38,10,1
86,69,34,11,1
105,81,30,12,1
108,82,28,13,1
80,63,33,14,1
79,68,35,15,1
77,65,32,16,1
75,60,31,17,1
68,56,26,18,1
75,58,24,19,1
71,57,24,20,1
74,58,23,21,1
73,56,26,22,1
88,67,26,23,1
78,62,23,24,1
87,67,24,25,1
94,75,25,26,1
77,62,29,27,1
73,63,29,28,1
77,64,27,29,1
86,68,28,30,1
68,56,28,31,1
63,56,31,32,1
63,58,34,33,1
99,76,29,34,1
87,67,32,35,1
65,59,31,36,1
71,64,37,37,1
65,59,35,38,1
80,68,34,39,1
69,61,31,40,1
80,67,31,41,1
89,73,29,42,1
65,60,34,43,1
75,63,33,44,1
85,71,31,45,1
83,69,30,46,1
