r,g,b,x,y
127,139,122,0,0
127,152,161,1,0
122,156,179,2,0
117,156,181,3,0
112,157,184,4,0
110,158,184,5,0
95,149,189,6,0
97,153,190,7,0
100,155,188,8,0
107,155,185,9,0
120,158,178,10,0
126,159,174,11,0
126,159,179,12,0
123,159,179,13,0
120,158,179,14,0
119,155,177,15,0
119,154,164,16,0
114,149,155,17,0
117,152,162,18,0
120,155,171,19,0
120,157,178,20,0
123,157,181,21,0
123,155,177,22,0
126,154,165,23,0
131,154,155,24,0
128,155,161,25,0
122,154,171,26,0
120,155,178,27,0
112,154,182,28,0
113,157,186,29,0
107,156,187,30,0
110,158,190,31,0
110,159,191,32,0
110,159,191,33,0
109,158,190,34,0
109,158,190,35,0
107,156,188,36,0
113,156,186,37,0
119,157,186,38,0
120,159,189,39,0
117,160,193,40,0
117,159,191,41,0
115,156,191,42,0
110,156,189,43,0
101,156,191,44,0
101,160,197,45,0
106,159,198,46,0
109,159,191,47,0
115,159,186,48,0
116,161,190,49,0
107,161,193,50,0
102,160,195,51,0
105,158,193,52,0
108,160,194,53,0
114,158,190,54,0
119,159,188,55,0
118,160,190,56,0
115,157,187,57,0
117,159,189,58,0
115,159,190,59,0
112,161,196,60,0
114,162,200,61,0
115,163,197,62,0
115,162,195,63,0
121,161,195,64,0
118,162,197,65,0
113,162,200,66,0
113,160,194,67,0
118,159,195,68,0
118,159,194,69,0
114,162,195,70,0
109,160,202,71,0
110,159,202,72,0
114,160,199,73,0
110,161,201,74,0
107,160,198,75,0
107,161,199,76,0
109,161,197,77,0
115,160,194,78,0
115,160,192,79,0
112,162,197,80,0
111,160,200,81,0
106,163,198,82,0
102,158,193,83,0
105,161,191,84,0
106,159,190,85,0
121,163,193,86,0
120,164,195,87,0
117,164,196,88,0
117,163,196,89,0
116,165,195,90,0
118,165,198,91,0
120,167,197,92,0
118,165,196,93,0
121,165,196,94,0
121,164,196,95,0
117,160,192,96,0
91,142,127,97,0
95,127,82,98,0
114,134,88,99,0
87,113,73,100,0
91,113,75,101,0
121,137,110,102,0
84,97,70,103,0
70,93,57,104,0
52,88,53,105,0
69,98,52,106,0
82,111,69,107,0
83,105,70,108,0
67,87,52,109,0
96,98,54,110,0
101,105,61,111,0
93,102,52,112,0
92,99,47,113,0
97,108,59,114,0
111,120,74,115,0
130,135,87,116,0
141,148,97,117,0
143,143,107,118,0
166,161,125,119,0
155,146,90,120,0
150,142,62,121,0
137,131,65,122,0
114,114,46,123,0
121,125,49,124,0
122,128,54,125,0
131,138,71,126,0
126,128,77,127,0
154,153,124,128,0
154,154,110,129,0
142,139,75,130,0
114,110,41,131,0
136,131,64,132,0
126,120,61,133,0
107,100,45,134,0
143,137,92,135,0
156,157,111,136,0
152,156,107,137,0
163,163,126,138,0
182,175,157,139,0
182,174,158,140,0
180,172,156,141,0
158,156,139,142,0
154,155,125,143,0
136,137,83,144,0
155,153,129,145,0
136,135,92,146,0
127,131,62,147,0
128,128,77,148,0
145,136,106,149,0
120,136,131,0,1
115,154,174,1,1
111,156,184,2,1
106,155,184,3,1
104,157,187,4,1
107,156,184,5,1
98,151,188,6,1
91,151,194,7,1
101,153,194,8,1
107,155,192,9,1
114,156,186,10,1
118,157,183,11,1
119,156,183,12,1
119,157,184,13,1
119,157,186,14,1
118,157,181,15,1
117,157,174,16,1
118,156,174,17,1
121,157,182,18,1
120,157,187,19,1
115,157,187,20,1
116,157,185,21,1
116,156,182,22,1
114,154,180,23,1
116,155,181,24,1
118,158,181,25,1
118,160,182,26,1
119,162,193,27,1
113,163,194,28,1
115,163,196,29,1
112,161,197,30,1
111,159,198,31,1
111,160,201,32,1
109,157,196,33,1
109,157,195,34,1
113,160,196,35,1
113,159,193,36,1
115,161,195,37,1
116,163,197,38,1
117,164,199,39,1
112,163,200,40,1
110,162,198,41,1
111,163,201,42,1
107,160,205,43,1
100,157,202,44,1
101,158,202,45,1
101,161,201,46,1
106,162,202,47,1
115,162,197,48,1
114,163,200,49,1
114,165,204,50,1
113,164,204,51,1
111,163,203,52,1
111,163,203,53,1
111,161,205,54,1
113,164,207,55,1
112,163,205,56,1
113,161,206,57,1
114,160,209,58,1
114,161,209,59,1
115,162,211,60,1
116,163,210,61,1
113,164,207,62,1
116,165,209,63,1
116,164,212,64,1
114,165,211,65,1
109,167,212,66,1
108,164,209,67,1
110,159,207,68,1
107,158,205,69,1
102,163,207,70,1
104,162,208,71,1
110,159,207,72,1
111,161,204,73,1
110,160,203,74,1
108,161,205,75,1
104,165,209,76,1
101,163,207,77,1
104,164,209,78,1
103,163,208,79,1
104,165,209,80,1
105,164,208,81,1
108,167,211,82,1
107,166,210,83,1
108,166,208,84,1
110,169,210,85,1
119,169,210,86,1
114,166,208,87,1
114,165,209,88,1
116,167,210,89,1
118,168,211,90,1
119,168,211,91,1
119,168,210,92,1
116,168,208,93,1
116,169,207,94,1
117,170,208,95,1
112,167,200,96,1
75,142,127,97,1
59,117,75,98,1
73,119,74,99,1
67,115,71,100,1
67,112,68,101,1
79,113,70,102,1
79,103,62,103,1
72,96,55,104,1
67,94,58,105,1
85,106,65,106,1
83,113,76,107,1
58,88,58,108,1
58,80,53,109,1
89,95,50,110,1
86,95,50,111,1
93,100,60,112,1
118,128,54,113,1
100,108,58,114,1
118,127,63,115,1
157,154,93,116,1
135,138,91,117,1
144,145,111,118,1
170,161,119,119,1
158,142,62,120,1
146,140,66,121,1
128,124,52,122,1
139,136,57,123,1
142,139,61,124,1
127,130,51,125,1
123,124,58,126,1
129,130,66,127,1
142,143,95,128,1
107,115,62,129,1
124,126,52,130,1
126,120,48,131,1
134,130,55,132,1
117,113,38,133,1
111,104,35,134,1
133,134,74,135,1
151,158,85,136,1
135,149,75,137,1
145,155,106,138,1
181,177,153,139,1
180,174,154,140,1
183,175,162,141,1
159,162,144,142,1
138,145,108,143,1
138,144,108,144,1
132,137,100,145,1
121,129,85,146,1
92,102,42,147,1
98,101,44,148,1
139,138,107,149,1
112,142,149,0,2
111,153,183,1,2
109,154,189,2,2
106,151,193,3,2
106,154,189,4,2
109,157,189,5,2
111,155,188,6,2
106,154,192,7,2
104,156,195,8,2
106,156,195,9,2
105,156,191,10,2
108,156,189,11,2
113,156,189,12,2
116,157,189,13,2
119,156,188,14,2
116,158,188,15,2
114,158,188,16,2
114,159,189,17,2
114,158,191,18,2
110,157,193,19,2
108,159,190,20,2
113,158,188,21,2
117,156,186,22,2
116,155,183,23,2
117,157,183,24,2
120,159,184,25,2
120,160,184,26,2
119,161,191,27,2
116,163,197,28,2
118,165,200,29,2
114,162,199,30,2
112,161,199,31,2
111,161,200,32,2
114,162,198,33,2
116,163,193,34,2
120,162,193,35,2
127,163,193,36,2
128,164,193,37,2
129,165,195,38,2
123,163,196,39,2
121,163,198,40,2
119,163,197,41,2
114,164,198,42,2
114,163,199,43,2
117,161,198,44,2
117,161,199,45,2
118,162,201,46,2
117,163,200,47,2
116,164,200,48,2
115,164,202,49,2
113,165,204,50,2
113,165,205,51,2
114,166,207,52,2
114,164,206,53,2
114,163,207,54,2
113,162,206,55,2
112,163,206,56,2
113,162,207,57,2
115,162,209,58,2
116,162,209,59,2
118,165,211,60,2
116,166,211,61,2
116,168,210,62,2
115,167,210,63,2
115,166,213,64,2
115,167,215,65,2
109,168,214,66,2
106,163,209,67,2
110,161,208,68,2
108,160,207,69,2
104,161,207,70,2
105,160,206,71,2
110,160,206,72,2
111,162,206,73,2
111,162,205,74,2
109,161,205,75,2
105,163,207,76,2
106,164,208,77,2
106,164,208,78,2
105,164,207,79,2
108,167,206,80,2
110,167,207,81,2
109,165,210,82,2
111,167,212,83,2
110,166,213,84,2
114,167,214,85,2
120,167,215,86,2
118,166,213,87,2
118,167,211,88,2
118,167,210,89,2
121,169,212,90,2
123,170,213,91,2
121,168,212,92,2
120,168,213,93,2
120,169,212,94,2
118,172,201,95,2
105,165,181,96,2
91,152,144,97,2
68,122,85,98,2
68,115,75,99,2
87,123,84,100,2
87,127,86,101,2
69,114,70,102,2
65,109,68,103,2
