r,g,b
214,191,166
216,195,170
214,194,170
216,196,171
217,197,172
217,197,173
216,196,175
214,193,171
215,194,171
215,192,168
214,194,169
214,191,167
215,192,167
214,191,166
213,190,165
214,191,164
212,189,161
212,189,159
212,189,158
208,186,156
210,187,161
212,189,163
212,188,161
215,192,163
212,188,162
214,192,166
217,194,170
214,191,166
211,190,163
212,188,161
214,192,163
216,197,173
216,197,172
216,197,171
213,194,174
212,193,173
213,194,173
212,191,165
212,191,168
214,193,173
214,193,169
215,194,169
211,189,164
213,188,160
214,189,160
216,194,166
217,198,172
214,192,167
212,187,160
213,189,164
215,194,170
216,195,170
216,195,170
216,196,171
216,194,169
219,195,170
217,193,169
219,195,170
218,192,164
219,195,167
218,194,166
219,196,167
222,201,177
219,197,172
220,199,173
219,195,168
219,196,172
215,195,171
217,197,173
218,198,174
218,198,174
218,198,175
216,198,174
214,195,171
215,195,170
216,196,169
215,196,168
217,198,169
216,197,168
222,204,176
223,206,180
213,197,182
212,196,181
210,192,175
210,192,173
212,193,177
213,195,177
213,194,177
211,191,172
208,188,166
209,189,167
209,190,169
209,189,166
207,187,163
212,191,168
212,190,165
215,192,168
211,189,164
215,194,168
216,195,171
216,195,171
215,192,169
215,192,168
219,199,177
217,198,176
218,198,173
216,196,172
212,192,168
212,192,167
213,193,168
213,190,165
212,188,162
211,189,163
209,185,159
211,187,160
210,186,159
209,185,158
214,189,164
213,189,161
211,187,156
209,184,153
206,182,149
208,184,152
214,190,163
213,189,164
215,192,166
212,186,157
214,191,166
214,190,166
214,191,167
212,188,163
211,188,160
212,191,162
214,193,167
212,192,167
213,194,170
217,199,179
215,197,177
213,195,172
210,190,166
213,193,169
211,191,169
212,192,169
214,194,170
211,190,166
213,189,161
212,188,159
211,186,153
215,190,159
213,189,158
209,184,152
213,189,159
216,193,165
218,195,172
221,198,174
219,196,171
216,193,166
218,194,166
219,195,168
218,194,168
220,196,172
220,196,170
221,197,172
220,197,172
221,201,176
222,200,176
221,198,174
217,194,166
220,195,169
217,196,172
214,194,169
218,198,174
218,198,174
216,196,172
217,195,171
216,195,171
214,194,169
215,195,169
216,197,170
218,198,171
217,198,169
219,202,174
224,208,181
213,197,182
211,195,180
209,190,174
213,194,178
212,194,180
215,198,182
214,195,178
211,190,172
210,190,173
211,191,174
209,190,172
209,189,169
205,185,162
208,187,164
212,191,166
213,192,168
213,194,171
217,198,178
218,199,180
216,196,175
214,193,171
217,195,171
221,201,178
219,199,178
215,195,170
214,194,169
213,193,168
214,194,170
212,190,165
212,188,161
210,186,157
210,187,160
209,185,160
209,185,157
210,186,158
210,185,156
214,189,162
212,187,158
208,184,153
210,186,156
212,187,160
212,188,162
212,188,162
213,189,163
212,188,159
209,184,151
209,188,161
214,192,168
217,195,171
214,193,169
213,189,161
211,188,158
214,195,171
212,193,171
213,196,172
216,198,178
214,195,170
213,194,169
213,192,168
214,194,171
215,195,171
215,195,171
215,194,172
214,194,170
212,189,161
210,182,146
210,185,150
212,188,158
212,188,158
215,190,161
214,190,161
215,191,163
221,196,170
220,196,171
220,197,173
216,194,170
218,194,169
218,194,169
220,196,171
220,196,171
219,195,169
220,198,174
221,197,173
221,201,176
223,203,178
224,202,178
222,198,175
219,199,177
219,199,175
218,198,174
219,199,174
216,196,171
215,195,170
214,191,163
212,189,162
215,192,166
215,192,166
216,195,168
217,197,169
216,197,167
218,199,170
220,203,176
215,198,182
210,194,179
212,195,179
213,196,183
213,197,182
213,196,180
213,195,177
215,195,179
211,192,175
211,192,175
212,193,176
209,189,171
207,187,165
208,188,167
213,192,171
215,195,171
218,198,175
217,197,174
217,196,174
218,198,177
216,195,176
214,193,172
217,194,170
212,190,164
213,191,166
213,193,168
214,194,168
213,191,162
212,188,162
213,189,165
213,189,166
212,188,164
208,184,158
210,186,160
210,186,159
209,185,155
210,186,160
211,186,159
208,183,152
210,187,157
211,188,159
211,189,162
212,189,162
211,187,159
211,188,161
211,188,162
213,193,169
215,195,171
213,195,171
214,195,171
212,190,160
211,187,156
210,187,158
211,188,161
214,198,174
218,200,177
213,193,167
214,192,165
212,189,163
213,191,164
215,195,170
213,193,169
211,191,165
213,191,164
213,190,162
213,187,157
213,188,157
214,192,166
216,195,169
221,200,176
222,200,178
218,197,172
216,194,168
218,197,171
219,199,174
217,197,172
220,198,174
219,198,173
220,198,173
218,194,169
218,194,167
220,197,173
221,198,172
222,202,177
223,203,179
222,202,178
222,200,176
220,200,174
219,199,175
218,198,174
216,194,167
214,192,167
216,196,171
215,192,167
215,191,165
216,192,165
216,192,163
215,193,163
219,199,169
219,200,170
219,200,170
220,202,173
215,198,180
212,196,181
214,198,183
216,198,185
215,197,181
211,192,175
210,190,172
209,189,171
212,192,174
211,192,175
209,190,172
209,189,169
208,187,168
208,186,167
211,188,166
214,191,168
210,188,164
211,188,165
214,191,167
213,191,168
211,188,168
206,184,161
209,183,155
211,185,155
213,189,160
216,193,170
215,192,170
212,188,162
210,185,158
210,185,158
212,188,160
214,190,164
208,186,160
207,184,157
208,184,155
209,185,160
213,191,166
213,188,165
210,185,159
212,188,164
208,185,159
209,188,161
214,191,166
212,189,160
217,197,172
216,197,173
218,198,173
218,198,174
215,196,172
217,197,173
215,194,168
208,184,153
211,189,161
210,189,163
212,194,169
217,198,174
216,194,169
212,189,159
213,189,159
211,190,163
213,193,168
214,192,166
213,191,166
213,189,162
216,192,164
220,198,173
221,198,173
219,196,170
215,193,168
221,201,175
222,203,178
223,202,178
221,199,174
219,197,170
217,195,169
218,197,172
222,200,175
220,197,172
219,196,170
218,194,168
220,196,170
221,198,173
221,200,173
223,203,178
223,203,179
223,203,179
220,200,175
222,202,177
221,201,177
218,196,172
217,193,165
217,193,166
216,196,171
215,191,163
216,194,168
218,196,170
219,197,169
216,195,165
216,197,166
220,201,171
223,204,176
223,206,178
214,198,181
214,197,182
213,195,179
213,195,180
212,193,177
208,187,171
208,188,170
209,188,169
208,187,168
206,186,168
209,188,169
209,188,168
206,186,165
207,185,165
209,185,164
202,178,153
207,182,159
207,182,159
206,181,158
194,170,146
172,149,124
172,146,123
192,164,136
211,184,155
210,186,157
212,188,162
210,186,159
211,186,162
210,184,157
208,183,154
207,182,152
210,186,161
209,186,162
209,184,160
210,185,161
211,189,166
213,192,171
213,193,174
210,189,166
213,191,170
213,190,169
199,174,148
197,172,145
211,191,167
217,200,181
215,196,175
217,198,177
216,196,173
216,197,174
217,198,173
217,196,173
215,194,172
215,196,173
215,196,172
213,193,169
216,196,171
216,192,166
212,188,158
212,188,159
213,193,168
214,194,170
213,191,165
214,191,165
214,192,165
215,191,164
216,192,164
219,194,167
218,194,166
219,194,170
219,196,170
216,193,166
220,196,169
219,195,167
218,194,165
220,197,170
218,196,169
219,195,167
221,197,171
216,191,166
219,195,169
221,197,173
223,200,177
224,202,179
223,203,178
222,200,175
220,199,172
220,197,173
221,199,173
220,198,172
222,198,174
219,195,167
215,191,163
217,196,169
218,197,174
219,197,173
221,200,176
220,200,176
220,200,175
218,199,171
218,199,168
222,203,175
223,205,179
213,198,181
213,194,179
211,192,175
211,192,176
212,193,177
211,192,175
207,188,169
206,186,164
209,188,169
209,188,169
210,189,171
212,192,174
208,185,166
205,182,161
198,175,152
145,121,106
185,160,138
191,166,143
163,141,122
118,99,89
131,111,97
158,132,114
202,177,151
211,186,158
214,190,164
209,187,163
210,187,162
208,183,154
208,183,155
211,187,161
208,185,161
208,184,161
208,185,164
209,188,168
204,181,159
176,154,132
200,176,152
209,185,161
181,153,131
146,117,103
107,85,76
95,72,68
63,49,47
89,73,66
127,106,94
165,143,124
206,187,165
214,196,172
219,199,179
218,200,179
219,200,178
216,197,175
215,195,170
213,191,165
213,191,166
217,195,169
215,191,163
212,188,160
212,189,159
211,190,161
213,194,170
217,198,177
215,196,173
213,192,168
215,191,164
213,188,157
214,189,158
213,188,156
218,194,166
219,194,168
216,191,162
218,192,163
218,193,162
219,195,167
221,197,171
223,199,173
222,200,172
220,196,169
222,198,174
219,195,171
220,196,172
222,199,175
221,198,171
221,199,173
221,200,175
222,203,179
220,198,174
220,196,168
219,195,167
218,195,167
219,195,167
215,192,163
219,195,167
218,196,168
217,193,167
216,194,166
219,197,171
220,198,171
220,199,171
220,199,167
221,200,167
219,197,164
215,200,183
212,194,178
211,192,176
211,192,174
211,191,173
208,187,169
206,184,162
207,185,159
208,187,166
211,190,170
213,194,176
214,194,179
205,182,163
182,155,133
136,114,101
105,82,74
166,142,122
162,139,118
117,101,90
77,63,62
100,81,79
137,118,101
204,179,149
209,183,158
214,189,168
215,193,175
213,190,169
207,182,156
212,187,165
212,188,165
209,187,163
207,183,160
198,176,156
172,148,127
127,109,94
89,73,70
152,133,117
182,156,136
124,88,79
97,71,67
57,44,51
63,49,58
47,38,47
35,30,38
49,39,46
69,54,57
117,91,84
187,163,137
216,197,174
219,201,181
217,197,176
213,192,167
213,191,165
213,189,161
211,186,157
213,189,159
216,192,164
218,194,166
216,196,170
217,197,172
215,194,168
218,199,177
215,195,171
214,191,166
214,189,162
214,190,160
213,187,155
218,192,162
218,194,165
218,193,168
219,195,165
220,195,167
219,194,162
222,197,170
222,198,171
222,199,173
222,199,173
220,196,169
221,197,172
219,195,171
219,196,172
219,197,172
222,198,174
220,196,170
219,197,171
220,199,172
221,199,171
220,196,168
218,194,166
220,196,171
219,195,167
218,194,166
219,195,167
218,194,166
220,196,168
216,192,163
217,193,164
216,193,161
217,194,162
217,194,162
221,198,166
222,200,166
210,193,177
213,196,180
215,196,181
214,196,182
211,191,174
207,184,164
202,176,148
202,176,149
206,184,161
208,187,163
208,184,160
208,185,161
195,172,147
144,115,102
97,75,70
117,93,83
133,115,100
138,116,101
125,110,99
75,59,58
67,52,54
87,73,75
200,175,149
206,179,151
207,183,156
208,187,167
207,182,162
207,182,161
205,180,158
201,176,152
183,160,136
157,136,115
126,107,95
98,81,75
68,55,56
51,40,43
65,50,51
121,97,90
109,80,75
81,61,63
57,47,60
61,49,64
74,60,73
60,50,63
36,31,42
39,35,45
52,41,48
104,81,75
200,178,152
214,196,173
212,189,162
216,193,167
215,191,164
211,188,158
212,187,158
212,187,157
215,191,163
217,193,166
216,192,167
215,191,162
212,188,158
215,189,160
213,193,168
215,192,163
215,192,161
217,193,163
218,195,166
220,196,170
222,197,173
219,195,168
220,195,167
218,192,166
218,192,161
218,193,162
218,194,165
220,196,169
222,197,172
218,194,168
215,191,162
217,193,163
217,193,165
215,190,159
218,194,165
218,194,167
216,192,160
216,192,166
217,192,162
219,195,167
220,196,168
219,195,169
218,194,168
219,196,169
220,196,170
218,194,168
219,195,167
214,192,163
215,191,163
214,190,157
214,192,159
216,195,162
221,199,167
224,204,171
215,197,181
213,195,177
212,193,175
210,191,174
207,188,170
208,186,166
205,177,152
202,175,146
204,179,154
195,170,142
163,137,114
201,176,148
195,172,151
113,89,82
84,66,63
95,76,71
138,118,103
133,112,99
96,80,74
79,61,63
47,38,43
96,79,92
179,151,135
198,169,143
194,169,141
189,163,137
176,154,130
161,140,118
131,113,95
131,114,96
124,106,94
105,87,80
85,69,66
58,47,49
59,45,51
62,48,53
67,51,52
81,62,63
78,62,71
74,59,69
58,45,57
46,37,49
56,45,55
64,51,63
45,36,50
29,21,35
30,23,35
35,28,37
85,72,63
188,168,144
212,187,158
214,191,164
216,192,168
217,193,166
215,189,159
214,187,156
215,191,164
216,191,167
215,191,163
213,188,161
211,187,158
212,187,156
215,194,167
216,194,163
216,193,162
219,196,167
220,196,168
219,195,169
221,196,171
219,193,167
220,194,168
218,192,166
215,189,155
213,185,151
216,192,161
219,195,166
218,194,165
218,194,166
217,193,166
217,192,166
215,191,162
217,192,165
218,193,164
217,193,160
218,191,158
216,192,160
215,191,159
218,193,165
218,194,165
218,194,164
221,198,172
221,199,174
222,198,174
220,196,170
216,193,163
216,193,162
220,196,167
220,197,167
220,198,166
221,202,171
225,206,175
223,202,170
216,200,185
214,195,177
211,193,172
208,187,164
207,185,166
208,186,166
207,183,160
202,177,148
201,176,149
190,164,138
122,98,85
186,161,137
190,167,147
82,66,62
63,50,52
68,55,54
119,102,92
105,90,81
71,57,59
66,52,62
59,52,70
111,88,95
150,121,106
190,167,149
87,77,69
65,56,57
58,50,55
66,55,56
75,62,64
85,74,71
68,56,55
51,41,44
42,33,37
70,52,53
76,58,59
71,54,56
71,52,54
101,72,70
103,78,76
86,66,70
60,47,57
47,36,51
41,33,44
44,34,46
55,42,58
43,32,48
27,20,33
45,36,47
44,32,40
55,44,46
150,132,115
207,184,157
213,189,161
213,187,160
211,183,151
208,181,146
208,183,149
212,186,157
215,191,163
212,187,159
213,189,161
213,188,160
215,191,162
216,192,165
218,195,169
222,198,175
221,197,171
219,195,167
217,192,164
216,190,163
219,193,166
216,191,160
218,193,165
214,187,160
215,188,160
215,190,161
217,192,163
218,194,165
221,197,167
221,197,172
217,193,166
217,193,166
217,194,164
216,192,161
217,192,163
217,192,164
216,190,162
219,193,164
220,196,166
221,197,169
222,198,169
221,196,171
221,197,172
220,197,166
217,194,163
219,195,167
224,200,172
223,199,171
221,198,167
225,204,174
228,209,178
224,203,170
215,198,182
214,195,176
209,189,167
205,182,158
205,181,158
202,178,151
204,180,155
202,176,150
199,173,144
198,174,148
128,105,91
169,144,124
160,135,121
59,46,47
76,59,60
59,45,46
105,87,81
77,63,61
66,51,56
60,49,65
74,62,78
104,75,74
105,76,71
88,71,67
46,39,48
41,35,46
46,37,45
42,33,38
35,28,33
27,21,28
21,15,21
31,23,29
56,41,46
75,54,56
75,57,57
69,51,51
83,62,61
94,69,68
95,71,67
77,60,68
72,56,65
55,42,58
49,37,46
45,33,41
53,40,50
60,46,60
36,26,42
28,21,36
47,37,48
39,29,39
50,44,46
109,95,90
205,182,159
213,189,164
214,188,163
214,189,160
211,183,152
212,186,157
212,189,160
214,190,162
213,190,162
216,191,164
215,191,162
214,189,161
217,193,164
221,197,169
219,194,168
217,193,164
217,192,165
217,191,164
218,192,166
217,191,163
219,193,166
216,190,163
217,191,164
216,190,163
216,191,163
217,193,163
220,196,169
220,196,171
221,199,175
219,195,171
219,195,168
216,192,165
216,192,165
215,190,163
217,191,164
217,192,165
220,196,168
220,196,168
217,192,162
218,194,167
221,197,169
223,200,172
221,197,169
221,197,169
220,196,168
218,194,165
221,197,168
221,200,171
222,203,172
223,203,174
212,194,174
212,191,172
210,190,170
208,188,165
208,184,163
202,179,156
204,180,159
201,176,153
202,178,157
203,183,162
150,123,108
151,128,111
147,119,110
52,40,43
69,52,55
65,50,52
76,61,60
57,45,49
70,55,59
46,36,45
96,71,73
103,74,69
90,66,63
67,52,51
40,33,43
44,36,44
77,60,64
66,49,54
50,35,41
42,30,36
45,32,35
50,37,41
57,42,45
67,50,50
77,59,59
66,49,49
77,57,57
87,64,64
94,71,68
53,41,55
56,44,59
57,45,58
77,59,71
96,75,75
75,54,58
66,49,54
54,41,51
37,28,41
34,27,43
34,26,39
38,29,36
73,59,68
152,131,124
210,186,159
213,189,165
215,191,166
213,188,162
213,187,160
212,186,157
214,188,161
214,190,162
216,192,164
216,191,161
214,189,158
218,193,163
219,193,165
216,191,160
218,193,164
217,191,163
216,190,162
216,190,162
218,192,165
219,193,166
218,193,164
218,193,163
218,192,163
217,192,163
219,194,165
220,195,168
221,199,174
221,201,176
221,200,176
221,198,173
222,198,174
220,196,171
219,195,170
220,196,168
218,194,166
217,193,165
218,194,166
221,197,169
217,193,165
222,198,170
221,197,169
220,195,168
221,197,170
219,196,166
219,196,165
220,197,167
221,200,170
223,202,170
226,202,172
214,195,178
214,195,178
211,193,174
208,187,163
209,188,164
207,186,166
209,188,169
208,187,169
203,182,165
203,183,164
137,117,104
124,106,95
151,123,114
55,42,44
49,38,40
67,53,52
56,46,51
41,32,38
60,46,53
48,38,44
85,64,62
89,65,64
90,66,65
83,64,63
50,40,46
45,37,44
57,40,45
54,38,43
48,36,40
47,34,42
46,34,38
56,40,43
64,48,51
68,51,51
78,60,58
70,53,53
80,59,60
83,60,60
93,71,67
49,41,58
47,38,60
41,33,48
60,44,54
97,71,72
94,67,69
83,60,60
58,41,46
41,31,37
32,26,39
28,23,38
34,30,40
82,65,65
104,85,87
176,153,133
208,185,159
212,188,161
213,189,165
214,189,161
213,188,162
214,188,162
215,190,163
212,187,157
214,185,153
213,188,155
218,194,163
219,194,164
215,191,159
218,193,162
217,192,162
218,193,164
217,191,164
216,190,163
216,190,163
217,191,163
216,191,161
218,193,163
219,194,164
217,192,163
220,196,168
218,194,166
220,197,169
221,200,175
223,203,177
222,198,174
218,194,167
219,195,167
218,194,165
216,191,160
219,194,166
221,195,168
221,197,169
216,192,164
218,194,164
217,193,159
219,194,162
218,194,162
219,195,163
218,194,163
222,199,169
223,202,173
219,195,162
223,200,168
214,195,178
215,196,178
211,193,173
209,186,162
209,186,162
208,187,165
210,189,167
206,185,163
202,181,159
197,177,160
116,97,90
121,103,93
125,103,96
63,49,52
49,38,43
70,56,56
45,34,39
41,31,39
44,35,42
46,35,43
35,26,32
33,26,30
62,49,52
70,54,56
56,42,45
46,34,37
56,40,44
47,35,39
55,43,46
86,62,65
64,48,51
60,44,47
69,51,55
72,54,55
75,57,56
70,53,51
101,75,70
122,93,88
91,68,68
52,44,63
48,39,65
34,26,43
45,34,49
84,61,64
94,65,67
91,63,65
85,58,60
63,44,47
45,33,42
50,40,56
46,36,51
29,21,28
41,33,38
69,54,56
127,102,88
192,169,145
215,191,167
216,192,164
216,192,168
215,190,167
215,189,163
214,188,161
218,189,159
215,190,160
219,194,165
219,194,163
216,191,161
220,195,165
219,194,164
216,191,161
216,191,161
217,192,162
216,191,162
218,192,164
219,194,167
217,193,164
215,190,160
216,191,161
217,192,162
217,192,163
220,194,168
221,197,173
222,201,176
222,202,176
220,199,174
218,194,166
216,192,164
220,195,168
219,196,165
222,198,170
221,197,169
219,195,167
219,196,168
218,195,166
220,197,169
218,195,165
220,196,166
218,195,164
222,201,171
224,204,175
223,201,171
224,201,170
215,197,177
212,194,174
212,191,172
210,189,167
208,188,164
210,189,169
208,188,166
205,185,165
201,177,158
163,145,129
99,79,75
88,75,72
123,107,101
76,62,65
56,44,48
52,41,43
45,32,37
37,28,35
38,28,35
49,37,41
20,15,22
15,10,17
20,14,21
42,31,38
50,37,41
65,47,51
63,46,53
58,46,50
88,66,64
82,58,58
65,49,52
67,48,51
61,45,48
68,51,51
74,56,54
70,51,50
129,98,90
123,94,86
86,66,64
57,49,68
52,43,67
37,29,49
44,36,48
85,61,63
87,59,60
68,48,52
63,44,49
58,42,46
56,42,47
66,51,67
68,54,71
53,41,51
74,56,56
43,33,39
41,34,35
69,56,53
151,132,114
204,181,156
213,189,165
215,191,167
216,191,167
215,189,162
217,191,164
218,193,163
221,196,167
217,193,162
218,193,163
219,194,164
219,194,166
219,193,165
221,196,166
219,195,166
222,197,171
219,194,166
221,197,169
217,192,164
218,193,163
218,192,164
220,194,166
221,196,170
224,200,175
222,198,170
222,198,170
220,196,169
220,196,171
219,195,167
217,191,164
