r,g,b
224,216,195
221,212,195
214,205,188
213,201,185
213,198,180
217,204,187
218,205,189
217,202,181
218,203,181
216,199,176
215,197,171
217,200,174
220,204,181
218,201,179
219,201,177
222,204,180
222,204,181
216,198,169
219,201,175
222,205,181
220,202,173
220,202,172
219,202,173
220,203,177
220,202,177
220,200,175
220,200,174
218,201,174
221,203,180
220,205,184
222,204,180
223,205,184
224,206,182
221,203,179
219,204,182
218,203,182
215,198,175
217,199,175
221,203,179
221,205,180
220,206,182
220,206,183
220,204,177
220,204,178
223,207,182
222,204,180
224,206,181
224,207,181
220,204,178
218,204,177
221,205,179
221,207,181
221,207,181
223,209,183
220,206,179
221,207,181
217,203,177
220,202,178
218,204,177
221,204,178
219,202,176
218,202,174
219,202,176
220,200,173
223,203,179
220,203,172
219,201,171
218,200,170
219,202,175
221,204,179
217,200,173
215,198,173
217,200,174
215,198,172
218,201,174
219,203,176
216,199,173
217,200,174
220,203,177
221,204,178
223,205,181
223,205,181
223,205,181
224,206,182
224,206,182
222,205,179
222,204,180
220,205,184
221,207,181
221,206,185
222,207,186
220,206,180
220,206,180
217,203,177
217,203,178
220,205,180
220,206,181
219,206,186
219,207,185
219,208,185
215,200,171
216,202,176
217,203,182
218,203,183
214,201,185
213,198,180
216,201,182
216,201,185
217,202,184
215,200,181
215,200,181
212,195,173
214,194,170
217,198,174
218,200,176
216,198,174
219,201,177
221,203,179
223,205,183
217,199,172
216,196,170
220,200,175
218,198,174
219,199,175
219,200,175
218,201,175
221,201,176
217,197,172
216,198,174
216,199,173
217,200,176
218,203,182
220,203,179
221,203,180
220,202,177
220,202,178
219,201,180
220,204,183
218,200,180
218,200,180
220,202,179
220,204,182
222,207,187
224,207,187
220,203,180
220,203,178
222,205,181
221,202,177
222,203,178
222,204,178
218,201,174
221,204,178
220,203,178
222,205,180
220,206,180
220,203,177
220,202,178
219,201,177
216,198,174
215,198,172
217,197,172
218,200,176
219,201,177
217,200,174
217,200,174
218,198,173
220,201,177
219,200,175
219,200,174
215,197,170
216,199,172
218,199,174
216,197,172
215,197,171
214,197,170
214,195,169
215,195,170
216,197,172
215,197,171
217,197,172
218,199,174
219,201,177
221,203,179
222,204,180
221,203,180
223,205,185
221,203,182
221,203,179
219,201,177
218,200,177
219,201,177
219,204,183
220,202,181
216,198,175
218,203,181
216,199,176
217,201,176
217,200,176
216,200,175
216,202,179
218,204,183
217,203,181
216,202,177
218,203,182
215,199,184
215,201,185
211,198,182
213,197,182
213,198,180
216,198,180
216,198,179
215,197,177
212,196,176
210,193,173
211,192,172
217,199,177
216,198,176
217,199,178
217,199,176
219,200,177
218,199,174
217,197,173
216,196,173
215,195,171
214,194,170
218,198,173
217,197,172
216,196,172
215,195,170
215,195,170
218,198,174
218,199,174
217,197,174
219,201,181
218,200,179
216,198,174
217,199,175
219,201,177
221,203,183
219,202,182
218,200,180
219,203,182
219,204,183
220,204,183
219,204,184
219,204,184
220,203,180
218,200,176
220,202,177
221,203,180
220,201,177
222,207,183
221,207,185
220,206,183
222,205,180
221,204,180
220,202,178
220,202,178
218,200,176
218,200,176
217,197,173
215,195,171
215,195,171
216,198,174
216,198,174
216,198,174
214,195,170
218,198,173
217,198,173
216,195,169
217,197,172
216,196,172
213,195,169
216,197,174
216,196,171
214,195,167
216,197,174
213,195,171
212,195,170
217,199,174
217,198,174
217,197,172
217,197,172
219,200,176
221,201,177
221,201,177
221,201,177
221,201,177
219,199,174
218,199,174
219,201,177
219,201,177
221,203,182
218,201,181
217,202,181
215,200,179
217,202,180
215,198,175
216,199,174
215,197,173
214,196,172
215,199,177
217,202,181
217,201,182
221,205,186
224,209,188
213,198,180
213,197,182
211,195,180
213,197,182
210,192,175
211,192,173
215,196,178
213,194,177
211,195,177
212,195,176
211,193,173
216,198,178
218,200,181
220,201,182
217,199,178
218,199,177
217,197,173
215,195,171
214,194,169
214,195,169
216,197,173
214,196,171
217,197,172
217,197,173
216,196,172
216,196,172
216,196,172
218,198,174
216,196,171
218,199,175
216,196,173
214,195,170
217,199,174
219,201,177
221,203,179
218,200,177
219,203,182
221,204,184
222,206,185
221,207,187
218,207,188
220,204,183
219,201,179
219,201,177
219,200,176
218,200,174
220,203,180
224,209,187
221,207,187
223,210,191
221,202,179
216,197,172
220,202,179
217,200,175
214,195,170
215,195,171
217,197,173
213,193,168
215,195,171
216,198,177
213,194,170
215,196,172
214,194,169
217,197,173
217,198,175
214,193,167
214,194,169
214,194,169
213,193,168
216,196,172
214,193,167
213,193,164
216,196,172
212,193,167
214,194,169
214,195,170
215,195,172
215,196,167
214,195,167
218,197,173
221,198,174
219,198,173
219,195,168
221,198,174
217,197,172
219,199,175
216,196,171
216,199,174
217,199,179
216,198,178
216,198,178
218,200,180
213,195,172
212,195,171
212,193,169
215,196,172
212,194,170
214,198,176
216,201,180
217,200,180
219,202,179
222,204,180
212,197,178
209,193,178
210,194,179
211,192,176
211,192,175
209,189,170
211,192,173
210,193,179
211,193,175
211,193,173
212,191,167
215,196,176
220,201,183
218,200,179
218,200,180
219,200,179
216,196,171
213,192,167
216,194,170
216,196,173
216,196,172
217,198,174
218,198,174
217,197,173
219,199,175
217,197,173
216,196,172
219,199,175
216,196,172
216,196,172
217,197,173
218,198,174
218,198,174
220,202,180
221,203,183
219,200,177
219,201,177
218,200,177
218,201,177
219,203,181
217,203,185
221,206,186
220,201,179
221,203,182
220,201,179
218,199,175
223,207,185
225,211,191
220,206,185
221,205,184
221,201,177
221,199,172
221,201,177
218,197,173
215,195,170
214,194,169
215,195,171
216,198,177
219,199,175
219,199,176
216,196,173
217,196,172
217,197,173
216,196,172
216,196,171
215,195,170
215,193,167
214,191,162
215,194,168
214,192,166
214,190,162
214,192,165
214,194,168
211,190,162
214,193,165
216,196,171
215,195,170
215,195,169
217,196,171
219,196,171
221,197,170
220,196,169
217,193,163
218,195,165
216,194,165
219,198,174
219,195,171
219,201,178
217,199,176
217,200,177
217,197,174
215,197,176
213,195,172
214,196,172
214,196,174
214,196,176
214,196,173
216,199,177
216,198,178
216,198,178
217,199,177
221,203,179
212,196,180
210,194,179
208,192,177
208,190,171
206,188,168
208,189,173
211,192,175
210,191,175
209,189,171
210,190,168
208,188,163
211,192,171
213,194,174
213,193,171
215,195,172
213,194,170
216,195,170
216,193,169
216,193,169
214,193,169
214,190,167
213,190,166
217,195,171
218,198,174
218,198,174
217,196,173
217,194,172
218,198,173
215,195,171
214,191,163
216,193,169
217,197,173
218,198,173
219,200,176
218,198,178
216,197,174
218,198,176
217,197,172
216,198,174
217,199,176
218,200,180
219,200,180
216,197,172
216,196,171
216,194,169
217,195,171
217,199,175
220,204,180
219,203,181
219,200,175
219,197,170
218,198,172
218,198,173
215,195,170
214,191,164
213,190,166
215,192,167
213,194,170
214,191,167
215,191,169
213,193,168
215,195,171
216,196,171
217,196,172
215,194,167
216,194,169
217,193,168
215,191,164
214,190,163
212,189,160
213,191,164
216,196,170
214,194,169
214,194,169
216,195,170
216,195,171
218,194,169
219,196,168
219,195,168
218,193,166
220,196,167
220,196,167
217,193,165
218,195,167
216,192,164
218,195,168
219,195,170
219,200,175
215,195,171
215,196,168
217,196,176
215,197,174
215,197,173
215,196,172
216,197,176
218,200,180
215,196,173
215,198,173
214,197,173
218,200,176
220,202,177
222,205,177
213,197,182
212,196,181
209,193,178
210,194,175
209,191,173
213,196,181
213,196,181
212,194,176
210,190,168
209,189,166
208,188,164
210,190,167
210,190,166
211,189,165
213,190,167
212,190,167
214,194,170
211,189,161
214,190,164
215,192,167
212,188,162
213,189,162
215,192,166
215,195,170
217,197,173
217,196,173
216,195,170
214,193,169
214,194,169
215,191,163
216,195,170
217,197,173
216,196,171
219,198,175
217,197,174
217,197,174
216,196,172
214,194,166
215,194,166
215,195,169
215,195,170
214,195,169
213,191,163
212,188,159
212,189,158
215,193,167
215,195,169
215,194,168
216,194,170
216,195,170
216,193,168
217,197,172
215,196,172
216,197,173
212,191,163
214,190,164
214,193,169
208,187,164
212,188,161
211,190,163
211,191,166
213,191,165
214,192,163
213,189,161
213,188,158
215,191,162
217,193,168
216,194,169
216,193,167
212,188,163
213,192,165
216,197,171
215,192,167
213,192,166
216,195,170
218,195,170
219,195,170
221,197,170
221,197,171
218,194,166
220,196,168
217,193,165
220,196,169
221,201,177
218,197,171
218,194,166
222,198,174
219,199,175
220,200,177
219,199,175
220,199,177
217,197,174
217,199,178
216,198,175
216,198,174
217,197,174
214,194,170
215,195,169
217,197,172
220,200,176
217,199,174
222,205,178
214,198,183
212,196,181
212,194,178
212,194,178
214,196,178
215,198,184
214,196,180
211,192,173
207,187,165
211,191,167
208,188,164
209,189,165
209,189,165
208,188,164
209,186,163
211,187,164
214,191,167
214,191,166
214,191,166
214,192,169
212,187,164
