r,g,b,x,y
96,99,95,0,0
140,121,101,1,0
103,95,72,2,0
119,96,79,3,0
108,81,64,4,0
130,83,80,5,0
216,174,105,6,0
134,97,74,7,0
207,192,138,8,0
85,76,59,9,0
39,43,48,10,0
45,52,51,11,0
119,113,77,12,0
225,212,153,13,0
186,167,159,14,0
151,62,45,15,0
176,99,64,16,0
195,131,68,17,0
206,145,76,18,0
182,105,61,19,0
160,61,53,20,0
126,71,59,21,0
143,89,64,22,0
154,136,83,23,0
204,173,95,24,0
223,179,96,25,0
187,142,82,26,0
207,161,105,27,0
203,160,97,28,0
184,144,89,29,0
163,127,91,30,0
143,117,80,31,0
172,136,95,32,0
166,142,95,33,0
157,132,91,34,0
175,125,72,35,0
160,102,56,36,0
189,141,71,37,0
239,190,101,38,0
177,117,45,39,0
193,127,54,40,0
238,205,110,41,0
239,214,133,42,0
235,203,110,43,0
233,192,100,44,0
218,172,85,45,0
209,157,91,46,0
207,153,91,47,0
219,177,103,48,0
224,180,107,49,0
222,175,108,50,0
221,173,112,51,0
225,184,110,52,0
209,170,112,53,0
131,127,99,54,0
212,177,129,55,0
225,194,161,56,0
197,172,128,57,0
215,175,130,58,0
189,155,128,59,0
59,68,81,0,1
61,73,77,1,1
186,148,91,2,1
117,76,61,3,1
130,93,77,4,1
126,87,77,5,1
175,131,80,6,1
178,135,96,7,1
134,114,88,8,1
59,57,50,9,1
46,53,50,10,1
36,44,40,11,1
172,155,104,12,1
210,197,147,13,1
171,110,98,14,1
170,120,107,15,1
191,155,141,16,1
167,76,41,17,1
188,120,58,18,1
196,150,75,19,1
197,128,66,20,1
108,74,67,21,1
135,84,67,22,1
163,139,87,23,1
204,162,94,24,1
203,153,82,25,1
185,140,85,26,1
202,159,98,27,1
220,174,106,28,1
185,146,86,29,1
168,136,98,30,1
128,109,72,31,1
174,144,91,32,1
156,127,85,33,1
166,133,92,34,1
205,154,78,35,1
220,166,68,36,1
233,186,87,37,1
217,169,74,38,1
203,137,70,39,1
216,150,60,40,1
237,209,116,41,1
244,230,163,42,1
242,219,136,43,1
241,228,154,44,1
235,214,129,45,1
225,194,122,46,1
200,159,99,47,1
216,167,107,48,1
226,179,110,49,1
232,190,112,50,1
227,185,104,51,1
234,185,114,52,1
192,162,104,53,1
188,164,111,54,1
216,177,111,55,1
142,126,96,56,1
186,163,123,57,1
230,192,134,58,1
226,183,128,59,1
68,77,77,0,2
86,85,91,1,2
94,87,88,2,2
91,75,71,3,2
153,113,83,4,2
121,90,72,5,2
218,178,99,6,2
132,83,65,7,2
119,92,79,8,2
54,59,64,9,2
66,70,71,10,2
55,59,62,11,2
206,173,94,12,2
230,213,171,13,2
155,93,84,14,2
198,165,161,15,2
176,114,64,16,2
202,136,64,17,2
190,108,57,18,2
196,123,67,19,2
215,160,81,20,2
165,135,85,21,2
185,155,97,22,2
192,157,97,23,2
197,150,92,24,2
197,147,85,25,2
185,142,89,26,2
219,178,108,27,2
214,170,101,28,2
200,162,102,29,2
164,135,96,30,2
140,125,86,31,2
189,141,99,32,2
123,116,85,33,2
106,110,71,34,2
205,175,91,35,2
230,177,78,36,2
223,180,83,37,2
236,191,93,38,2
209,147,62,39,2
237,180,75,40,2
227,202,103,41,2
249,237,173,42,2
240,220,144,43,2
246,226,159,44,2
233,209,125,45,2
231,204,121,46,2
237,215,133,47,2
233,208,130,48,2
228,199,113,49,2
226,188,96,50,2
234,192,97,51,2
229,189,100,52,2
195,184,103,53,2
218,188,116,54,2
207,166,94,55,2
221,179,119,56,2
215,170,106,57,2
220,183,126,58,2
214,177,130,59,2
65,72,81,0,3
132,111,103,1,3
126,119,110,2,3
114,72,62,3,3
92,69,65,4,3
87,71,65,5,3
181,153,97,6,3
101,87,60,7,3
146,120,77,8,3
29,38,36,9,3
47,47,44,10,3
67,68,62,11,3
217,197,120,12,3
236,222,192,13,3
189,160,153,14,3
163,90,75,15,3
194,159,140,16,3
174,92,52,17,3
162,86,42,18,3
218,165,88,19,3
225,175,93,20,3
135,143,91,21,3
192,148,99,22,3
120,116,78,23,3
196,153,96,24,3
197,152,93,25,3
183,143,88,26,3
216,175,95,27,3
210,169,106,28,3
185,150,94,29,3
165,137,98,30,3
151,137,97,31,3
177,152,102,32,3
129,120,92,33,3
120,119,87,34,3
197,178,92,35,3
222,178,74,36,3
234,200,103,37,3
237,201,97,38,3
232,179,77,39,3
231,189,79,40,3
236,205,96,41,3
232,207,135,42,3
235,213,138,43,3
238,229,156,44,3
237,211,133,45,3
238,203,127,46,3
234,202,114,47,3
238,213,124,48,3
239,215,124,49,3
241,219,128,50,3
242,221,134,51,3
243,219,124,52,3
139,135,94,53,3
198,179,116,54,3
232,200,105,55,3
118,111,71,56,3
237,219,137,57,3
232,211,124,58,3
239,205,109,59,3
121,107,94,0,4
137,101,87,1,4
123,65,53,2,4
212,182,110,3,4
167,141,93,4,4
109,68,48,5,4
179,147,75,6,4
35,36,40,7,4
37,46,47,8,4
35,39,36,9,4
44,48,51,10,4
73,68,56,11,4
183,168,101,12,4
179,169,147,13,4
157,146,142,14,4
134,98,81,15,4
144,92,72,16,4
129,79,69,17,4
121,89,55,18,4
204,172,116,19,4
207,172,118,20,4
205,174,106,21,4
147,123,79,22,4
202,160,110,23,4
198,161,109,24,4
204,158,95,25,4
183,143,87,26,4
212,167,99,27,4
206,165,103,28,4
201,157,101,29,4
120,114,75,30,4
168,134,97,31,4
212,175,114,32,4
196,159,109,33,4
180,147,94,34,4
187,149,78,35,4
233,194,90,36,4
238,213,117,37,4
241,211,110,38,4
220,166,64,39,4
231,185,78,40,4
239,220,123,41,4
238,212,122,42,4
239,221,133,43,4
235,209,126,44,4
240,207,126,45,4
241,219,146,46,4
239,214,127,47,4
245,220,143,48,4
240,217,136,49,4
246,226,145,50,4
244,222,146,51,4
241,223,146,52,4
193,171,94,53,4
230,210,132,54,4
213,199,125,55,4
188,183,129,56,4
241,225,142,57,4
241,219,125,58,4
241,223,119,59,4
155,119,103,0,5
123,65,58,1,5
128,90,68,2,5
226,178,122,3,5
165,124,76,4,5
211,170,99,5,5
74,57,54,6,5
34,45,47,7,5
43,44,40,8,5
86,85,75,9,5
81,80,78,10,5
119,111,95,11,5
117,113,101,12,5
151,134,105,13,5
116,100,92,14,5
119,108,92,15,5
95,85,66,16,5
124,106,67,17,5
211,162,111,18,5
206,162,120,19,5
209,170,113,20,5
217,173,110,21,5
173,153,91,22,5
218,196,180,23,5
220,195,174,24,5
195,152,85,25,5
157,121,78,26,5
199,152,87,27,5
207,162,94,28,5
199,154,98,29,5
166,131,88,30,5
158,128,83,31,5
142,135,96,32,5
189,161,96,33,5
196,165,106,34,5
195,138,87,35,5
227,183,74,36,5
237,207,106,37,5
228,203,93,38,5
243,204,110,39,5
231,188,81,40,5
238,211,113,41,5
235,203,112,42,5
239,216,135,43,5
240,218,130,44,5
235,210,125,45,5
238,217,136,46,5
237,213,126,47,5
239,212,120,48,5
235,210,118,49,5
238,214,123,50,5
236,213,126,51,5
238,218,134,52,5
216,201,140,53,5
182,170,107,54,5
185,169,102,55,5
229,217,144,56,5
244,221,128,57,5
239,208,112,58,5
241,214,115,59,5
147,113,85,0,6
168,133,125,1,6
190,177,167,2,6
147,114,93,3,6
132,102,79,4,6
229,207,172,5,6
58,52,41,6,6
82,78,66,7,6
89,88,83,8,6
106,103,93,9,6
60,61,57,10,6
112,107,91,11,6
132,123,101,12,6
72,66,61,13,6
89,86,70,14,6
134,110,87,15,6
182,160,100,16,6
216,174,100,17,6
197,165,121,18,6
203,174,100,19,6
215,182,117,20,6
224,171,85,21,6
213,176,90,22,6
216,177,126,23,6
203,168,126,24,6
197,149,76,25,6
180,140,81,26,6
212,173,104,27,6
203,170,115,28,6
196,162,105,29,6
138,137,99,30,6
151,115,76,31,6
177,140,82,32,6
215,170,104,33,6
224,177,107,34,6
192,148,87,35,6
220,172,77,36,6
239,202,98,37,6
235,207,101,38,6
238,212,124,39,6
235,205,108,40,6
234,199,102,41,6
237,201,103,42,6
242,212,130,43,6
240,218,140,44,6
234,212,136,45,6
242,215,133,46,6
242,217,134,47,6
244,216,125,48,6
241,215,128,49,6
241,217,135,50,6
243,221,141,51,6
197,177,123,52,6
232,223,156,53,6
235,225,174,54,6
229,213,140,55,6
241,222,140,56,6
238,208,108,57,6
239,202,102,58,6
236,201,101,59,6
220,177,106,0,7
174,163,128,1,7
157,122,119,2,7
200,187,180,3,7
148,122,110,4,7
148,145,136,5,7
81,73,70,6,7
96,92,85,7,7
85,72,58,8,7
135,120,101,9,7
81,73,62,10,7
147,134,107,11,7
89,81,67,12,7
111,99,88,13,7
115,101,84,14,7
174,146,90,15,7
216,180,127,16,7
219,189,127,17,7
213,172,114,18,7
216,173,115,19,7
219,180,110,20,7
230,180,93,21,7
212,173,98,22,7
213,168,89,23,7
198,149,78,24,7
181,136,90,25,7
185,146,81,26,7
121,107,62,27,7
215,170,101,28,7
208,168,103,29,7
181,161,104,30,7
182,135,81,31,7
121,113,79,32,7
189,154,94,33,7
208,170,105,34,7
211,166,103,35,7
194,144,76,36,7
229,189,83,37,7
241,211,118,38,7
237,216,127,39,7
236,222,137,40,7
237,200,106,41,7
234,197,89,42,7
238,203,113,43,7
241,218,140,44,7
237,218,138,45,7
238,206,110,46,7
235,207,113,47,7
238,212,121,48,7
237,211,129,49,7
241,220,144,50,7
239,221,145,51,7
180,162,134,52,7
212,199,142,53,7
184,171,131,54,7
159,143,119,55,7
242,220,141,56,7
235,201,101,57,7
241,200,95,58,7
234,197,89,59,7
189,161,112,0,8
169,134,92,1,8
175,132,100,2,8
136,87,70,3,8
87,83,76,4,8
122,111,96,5,8
128,119,105,6,8
158,134,105,7,8
47,46,43,8,8
111,95,75,9,8
125,103,85,10,8
110,96,79,11,8
101,93,78,12,8
106,87,71,13,8
180,158,96,14,8
217,183,113,15,8
223,192,123,16,8
224,186,120,17,8
217,177,115,18,8
211,171,114,19,8
220,183,113,20,8
237,193,99,21,8
220,177,98,22,8
217,170,102,23,8
187,145,84,24,8
181,140,84,25,8
196,155,88,26,8
195,167,95,27,8
206,166,96,28,8
213,174,111,29,8
156,138,85,30,8
188,143,86,31,8
179,142,90,32,8
203,165,100,33,8
204,164,104,34,8
198,159,98,35,8
211,164,94,36,8
202,153,72,37,8
231,192,104,38,8
240,218,126,39,8
238,220,139,40,8
239,212,123,41,8
235,207,107,42,8
244,218,142,43,8
240,218,135,44,8
237,208,126,45,8
232,197,102,46,8
234,197,100,47,8
241,211,123,48,8
241,215,132,49,8
239,218,140,50,8
239,220,142,51,8
239,219,142,52,8
243,221,145,53,8
232,214,147,54,8
213,197,142,55,8
238,213,123,56,8
230,202,105,57,8
239,207,105,58,8
240,206,105,59,8
135,77,71,0,9
189,167,109,1,9
201,154,107,2,9
140,101,89,3,9
103,98,88,4,9
96,86,72,5,9
108,96,78,6,9
140,120,93,7,9
82,72,56,8,9
121,105,83,9,9
68,55,44,10,9
31,28,21,11,9
177,147,109,12,9
218,191,111,13,9
211,176,115,14,9
225,188,109,15,9
217,182,119,16,9
222,185,111,17,9
220,181,104,18,9
217,178,108,19,9
217,179,107,20,9
236,194,101,21,9
215,174,94,22,9
215,167,97,23,9
