r,g,b,x,y
60,53,61,0,0
101,99,108,1,0
145,141,133,2,0
150,141,133,3,0
173,164,173,4,0
177,167,172,5,0
173,165,157,6,0
176,164,162,7,0
168,157,159,8,0
151,144,142,9,0
135,135,136,10,0
47,44,49,11,0
59,49,55,12,0
124,76,74,13,0
191,86,77,14,0
153,77,73,15,0
82,58,55,16,0
74,59,59,17,0
56,47,51,18,0
42,37,45,19,0
46,41,48,20,0
48,41,48,21,0
47,42,47,22,0
58,46,50,23,0
60,47,50,24,0
61,49,52,25,0
63,49,51,26,0
91,74,74,27,0
182,180,190,28,0
197,195,200,29,0
192,191,195,30,0
193,193,198,31,0
203,198,202,32,0
203,199,197,33,0
199,196,199,34,0
210,204,204,35,0
207,203,207,36,0
205,202,203,37,0
206,207,218,38,0
199,201,217,39,0
189,190,204,40,0
154,157,180,41,0
44,41,52,42,0
42,40,52,43,0
38,36,45,44,0
35,34,42,45,0
38,36,45,46,0
125,130,147,47,0
169,173,185,48,0
163,167,185,49,0
164,159,169,50,0
77,70,75,51,0
65,62,72,52,0
46,40,47,0,1
106,107,115,1,1
147,142,134,2,1
149,144,142,3,1
164,159,152,4,1
174,166,166,5,1
179,172,178,6,1
170,163,168,7,1
160,154,157,8,1
141,139,141,9,1
138,138,137,10,1
64,62,69,11,1
50,40,46,12,1
126,72,69,13,1
188,84,78,14,1
152,76,73,15,1
89,61,58,16,1
65,52,53,17,1
44,40,45,18,1
47,42,49,19,1
49,43,50,20,1
49,43,52,21,1
44,40,46,22,1
57,48,51,23,1
63,52,55,24,1
66,51,53,25,1
83,60,58,26,1
159,153,158,27,1
193,191,194,28,1
199,195,193,29,1
206,200,201,30,1
202,200,208,31,1
202,200,210,32,1
206,201,205,33,1
209,207,212,34,1
207,204,206,35,1
207,204,207,36,1
203,201,197,37,1
204,203,211,38,1
204,205,218,39,1
193,192,204,40,1
174,173,186,41,1
57,55,69,42,1
39,36,45,43,1
35,32,40,44,1
38,35,44,45,1
46,45,56,46,1
156,162,175,47,1
167,167,179,48,1
174,175,188,49,1
175,169,171,50,1
75,69,76,51,1
47,45,55,52,1
48,43,48,0,2
111,111,112,1,2
144,139,131,2,2
143,141,137,3,2
129,125,128,4,2
139,131,126,5,2
138,132,132,6,2
124,121,128,7,2
153,151,152,8,2
146,145,141,9,2
133,135,137,10,2
67,67,74,11,2
51,43,47,12,2
115,68,68,13,2
189,83,80,14,2
150,79,73,15,2
94,61,59,16,2
63,49,51,17,2
41,36,43,18,2
46,41,48,19,2
46,40,46,20,2
45,40,46,21,2
52,45,52,22,2
65,57,64,23,2
74,61,69,24,2
72,54,53,25,2
113,97,95,26,2
193,187,191,27,2
202,197,197,28,2
207,202,203,29,2
211,205,206,30,2
208,205,213,31,2
210,209,215,32,2
206,209,218,33,2
211,209,214,34,2
211,208,213,35,2
211,209,215,36,2
210,207,204,37,2
201,200,201,38,2
204,204,210,39,2
200,200,210,40,2
184,180,186,41,2
86,84,99,42,2
36,33,41,43,2
33,31,38,44,2
35,32,41,45,2
49,45,56,46,2
164,170,187,47,2
176,177,192,48,2
172,173,188,49,2
181,177,180,50,2
97,92,95,51,2
49,47,55,52,2
66,62,69,0,3
116,116,118,1,3
122,118,122,2,3
111,109,115,3,3
133,131,139,4,3
150,146,149,5,3
138,135,132,6,3
134,132,136,7,3
135,132,129,8,3
140,136,134,9,3
127,136,144,10,3
50,48,55,11,3
53,41,44,12,3
135,78,72,13,3
191,84,81,14,3
136,74,68,15,3
86,58,58,16,3
57,46,49,17,3
41,38,43,18,3
42,37,43,19,3
51,42,46,20,3
46,42,48,21,3
57,52,63,22,3
80,73,79,23,3
89,81,86,24,3
111,99,97,25,3
160,150,147,26,3
198,191,189,27,3
208,200,198,28,3
212,204,203,29,3
217,213,220,30,3
218,210,216,31,3
211,209,217,32,3
208,203,202,33,3
215,211,211,34,3
221,214,219,35,3
211,206,208,36,3
210,206,206,37,3
204,199,195,38,3
201,196,198,39,3
196,193,198,40,3
182,175,178,41,3
105,106,119,42,3
33,31,37,43,3
35,32,39,44,3
33,30,38,45,3
38,36,45,46,3
127,130,147,47,3
144,148,167,48,3
162,161,174,49,3
183,176,176,50,3
171,165,173,51,3
124,116,121,52,3
97,95,102,0,4
129,126,127,1,4
122,113,111,2,4
118,110,108,3,4
128,122,121,4,4
151,149,151,5,4
141,135,129,6,4
130,122,118,7,4
128,122,118,8,4
122,121,121,9,4
77,81,92,10,4
34,31,36,11,4
87,58,58,12,4
170,88,80,13,4
193,87,82,14,4
132,75,70,15,4
81,55,55,16,4
52,43,48,17,4
43,39,45,18,4
47,41,47,19,4
46,41,46,20,4
53,48,57,21,4
64,61,71,22,4
112,105,105,23,4
147,137,143,24,4
145,139,134,25,4
181,172,167,26,4
200,193,193,27,4
210,203,202,28,4
212,207,215,29,4
216,214,227,30,4
212,205,209,31,4
209,205,212,32,4
202,195,193,33,4
208,200,197,34,4
212,205,205,35,4
209,204,202,36,4
209,203,198,37,4
210,204,201,38,4
201,194,186,39,4
189,186,185,40,4
173,169,173,41,4
100,98,108,42,4
36,33,40,43,4
35,32,39,44,4
33,30,38,45,4
35,32,38,46,4
107,106,113,47,4
89,89,101,48,4
88,89,106,49,4
140,138,145,50,4
162,158,166,51,4
117,113,120,52,4
126,119,116,0,5
131,124,122,1,5
122,115,110,2,5
128,119,113,3,5
131,127,128,4,5
125,121,124,5,5
118,106,99,6,5
120,114,113,7,5
130,117,114,8,5
108,105,108,9,5
38,35,42,10,5
38,34,40,11,5
83,56,57,12,5
174,87,79,13,5
191,89,81,14,5
123,73,68,15,5
76,55,55,16,5
47,42,48,17,5
45,40,47,18,5
48,42,47,19,5
46,40,47,20,5
54,48,58,21,5
88,79,90,22,5
141,127,116,23,5
167,151,143,24,5
163,160,164,25,5
188,181,179,26,5
194,192,191,27,5
204,195,190,28,5
204,195,191,29,5
209,205,216,30,5
209,202,205,31,5
201,198,203,32,5
186,181,181,33,5
199,192,188,34,5
206,198,192,35,5
